"nomor_induk","nama","password","tipe","kelas","email"
"202300001","Andi Firmansyah","andi001","siswa","X-IPA-2","andi001@siswa.smapesat.sch.id"
"202300002","Budi Santoso","budi002","siswa","X-IPS-1","budi002@siswa.smapesat.sch.id"
"202300003","Citra Dewi","citra003","siswa","X-IPS-2","citra003@siswa.smapesat.sch.id"
"202300004","Dian Purnama","dian004","siswa","XI-IPA-1","dian004@siswa.smapesat.sch.id"
"202300005","Eko Prasetyo","eko005","siswa","XI-IPA-2","eko005@siswa.smapesat.sch.id"
"202300006","Fitri Handayani","fitri006","siswa","XI-IPS-1","fitri006@siswa.smapesat.sch.id"
"202300007","Gilang Ramadhan","gilang007","siswa","XI-IPS-2","gilang007@siswa.smapesat.sch.id"
"202300008","Hani Kusuma","hani008","siswa","XII-IPA-1","hani008@siswa.smapesat.sch.id"
"202300009","Ivan Setiawan","ivan009","siswa","XII-IPA-2","ivan009@siswa.smapesat.sch.id"
"202300010","Juwita Sari","juwita010","siswa","XII-IPS-1","juwita010@siswa.smapesat.sch.id"
"202300011","Kevin Ardian","kevin011","siswa","XII-IPS-2","kevin011@siswa.smapesat.sch.id"
"202300012","Lina Marlina","lina012","siswa","X-IPA-1","lina012@siswa.smapesat.sch.id"
"202300013","Mario Saputra","mario013","siswa","X-IPA-2","mario013@siswa.smapesat.sch.id"
"202300014","Nina Rahayu","nina014","siswa","X-IPS-1","nina014@siswa.smapesat.sch.id"
"202300015","Oscar Wijaya","oscar015","siswa","X-IPS-2","oscar015@siswa.smapesat.sch.id"
"202300016","Putri Anggraeni","putri016","siswa","XI-IPA-1","putri016@siswa.smapesat.sch.id"
"202300017","Qori Maulana","qori017","siswa","XI-IPA-2","qori017@siswa.smapesat.sch.id"
"202300018","Rika Septiana","rika018","siswa","XI-IPS-1","rika018@siswa.smapesat.sch.id"
"202300019","Sandi Nugroho","sandi019","siswa","XI-IPS-2","sandi019@siswa.smapesat.sch.id"
"202300020","Tari Puspita","tari020","siswa","XII-IPA-1","tari020@siswa.smapesat.sch.id"
"202300021","Umar Hakim","umar021","siswa","XII-IPA-2","umar021@siswa.smapesat.sch.id"
"202300022","Vina Lestari","vina022","siswa","XII-IPS-1","vina022@siswa.smapesat.sch.id"
"202300023","Wahyu Hidayat","wahyu023","siswa","XII-IPS-2","wahyu023@siswa.smapesat.sch.id"
"202300024","Xena Pratiwi","xena024","siswa","X-IPA-1","xena024@siswa.smapesat.sch.id"
"202300025","Yogi Kurniawan","yogi025","siswa","X-IPA-2","yogi025@siswa.smapesat.sch.id"
"202300026","Zahra Amalia","zahra026","siswa","X-IPS-1","zahra026@siswa.smapesat.sch.id"
"202300027","Arif Budiman","arif027","siswa","X-IPS-2","arif027@siswa.smapesat.sch.id"
"202300028","Bella Safitri","bella028","siswa","XI-IPA-1","bella028@siswa.smapesat.sch.id"
"202300029","Cahyo Wibowo","cahyo029","siswa","XI-IPA-2","cahyo029@siswa.smapesat.sch.id"
"202300030","Desi Ratnasari","desi030","siswa","XI-IPS-1","desi030@siswa.smapesat.sch.id"
"202300031","Edo Sulistyo","edo031","siswa","XI-IPS-2","edo031@siswa.smapesat.sch.id"
"202300032","Farah Nabila","farah032","siswa","XII-IPA-1","farah032@siswa.smapesat.sch.id"
"202300033","Galih Permana","galih033","siswa","XII-IPA-2","galih033@siswa.smapesat.sch.id"
"202300034","Hera Yuliani","hera034","siswa","XII-IPS-1","hera034@siswa.smapesat.sch.id"
"202300035","Ilham Fauzi","ilham035","siswa","XII-IPS-2","ilham035@siswa.smapesat.sch.id"
"202300036","Julia Permatasari","julia036","siswa","X-IPA-1","julia036@siswa.smapesat.sch.id"
"202300037","Krisna Bayu","krisna037","siswa","X-IPA-2","krisna037@siswa.smapesat.sch.id"
"202300038","Laila Fitriani","laila038","siswa","X-IPS-1","laila038@siswa.smapesat.sch.id"
"202300039","Maulana Yusuf","maulana039","siswa","X-IPS-2","maulana039@siswa.smapesat.sch.id"
"202300040","Nova Prastika","nova040","siswa","XI-IPA-1","nova040@siswa.smapesat.sch.id"
"GTK00001","Ahmad Fauzi","ahmad001","guru","","ahmad001@guru.smapesat.sch.id"
"GTK00002","Sri Wahyuni","sri002","guru","","sri002@guru.smapesat.sch.id"
"GTK00003","Rudi Hermawan","rudi003","guru","","rudi003@guru.smapesat.sch.id"
"GTK00004","Dewi Lestari","dewi004","guru","","dewi004@guru.smapesat.sch.id"
"GTK00005","Hendra Gunawan","hendra005","guru","","hendra005@guru.smapesat.sch.id"
"GTK00006","Sari Indah","sari006","guru","","sari006@guru.smapesat.sch.id"
"GTK00007","Yanto Prasetyo","yanto007","guru","","yanto007@guru.smapesat.sch.id"
"GTK00008","Nurul Hidayah","nurul008","guru","","nurul008@guru.smapesat.sch.id"
"GTK00009","Bambang Sugiarto","bambang009","guru","","bambang009@guru.smapesat.sch.id"
"GTK00010","Rina Susanti","rina010","guru","","rina010@guru.smapesat.sch.id"
